id,theoric angle,computed angle,computed qr's center x(px),computed qr's center y(px),real qr's center x (cm),real qr's center y (cm),computed qr's center x(cm),computed qr's center y(cm),distance from center (px),data,detected
5,90,85.9744,385,254,54,0,43.3582,-2.15564,66.4906,HTTP://CLIKBRIX.CO/T/2153,1
3,270,270,176,401,20,-18,11.2724,-21.1392,216.002,HTTP://CLIKBRIX.CO/T/2153,1
9,270,269.003,552,402,91,-37,79.6856,-30.157,282.963,HTTP://CLIKBRIX.CO/T/2153,1
8,90,86.6467,551,243,91,0,79.4276,-0.512376,231.019,HTTP://CLIKBRIX.CO/T/2153,1
9,90,86.7611,551,441,91,-37,79.4276,-37.387,306.206,HTTP://CLIKBRIX.CO/T/2153,1
2,90,87.7659,155,267,19,0,8.61907,-3.44939,167.194,HTTP://CLIKBRIX.CO/T/2153,1
8,180,-1,-1,-1,91,0,-1,-1,401.4,,0
7,0,-1,-1,-1,91,31,-1,-1,401.4,,0
3,135,132.335,171,390,20,-18,10.6338,-19.6148,211.426,HTTP://CLIKBRIX.CO/T/2153,1
7,270,267.055,542,84,91,31,77.1347,28.8102,271.33,HTTP://CLIKBRIX.CO/T/2153,1
1,45,44.7257,141,99,18.5,22,6.89895,18.1033,227.864,HTTP://CLIKBRIX.CO/T/2153,1
1,135,126.108,139,94,18.5,22,6.65557,18.7145,232.545,HTTP://CLIKBRIX.CO/T/2153,1
9,225,-1,-1,-1,91,-37,-1,-1,401.4,,0
9,135,131.159,539,424,91,-37,76.3808,-33.7711,286.037,HTTP://CLIKBRIX.CO/T/2153,1
4,270,267.861,385,83,54,28,43.3582,24.7423,169.924,HTTP://CLIKBRIX.CO/T/2153,1
5,315,314.286,391,259,54,0,44.4653,-2.9608,73.4983,HTTP://CLIKBRIX.CO/T/2153,1
4,90,85.8587,380,80,54,28,42.445,25.0973,170.88,HTTP://CLIKBRIX.CO/T/2153,1
3,315,314.073,175,402,20,-18,11.1444,-21.2545,217.414,HTTP://CLIKBRIX.CO/T/2153,1
5,45,41.8258,388,256,54,0,43.9108,-2.4777,69.857,HTTP://CLIKBRIX.CO/T/2153,1
2,225,224.929,165,268,19,0,9.87256,-3.60676,157.509,HTTP://CLIKBRIX.CO/T/2153,1
2,225,224.929,165,268,19,0,9.87256,-3.60676,157.509,HTTP://CLIKBRIX.CO/T/2153,1
4,315,315.432,384,87,54,28,43.1752,24.0908,165.846,HTTP://CLIKBRIX.CO/T/2153,1
1,270,267.144,161,90,18.5,22,9.36934,19.5526,218.589,HTTP://CLIKBRIX.CO/T/2153,1
9,270,268.989,552,401,91,-37,79.6856,-29.9703,282.392,HTTP://CLIKBRIX.CO/T/2153,1
5,0,358.11,387,258,54,0,43.726,-2.79062,69.3758,HTTP://CLIKBRIX.CO/T/2153,1
7,225,-1,-1,-1,91,31,-1,-1,401.4,,0
9,180,-1,-1,-1,91,-37,-1,-1,401.4,,0
6,270,268.53,404,419,54,-28,46.9082,-28.6235,197.73,HTTP://CLIKBRIX.CO/T/2153,1
6,0,358.692,400,423,54,-28,46.1506,-29.1524,199.722,HTTP://CLIKBRIX.CO/T/2153,1
5,180,177.966,390,253,54,0,44.2804,-2.00925,71.1969,HTTP://CLIKBRIX.CO/T/2153,1
3,135,132.335,170,390,20,-18,10.5057,-19.6002,212.132,HTTP://CLIKBRIX.CO/T/2153,1
2,0,358.897,160,270,19,0,9.24307,-3.85197,162.788,HTTP://CLIKBRIX.CO/T/2153,1
6,90,87.5359,398,419,54,-28,45.7736,-28.4607,195.256,HTTP://CLIKBRIX.CO/T/2153,1
1,0,357.555,149,99,18.5,22,7.87796,18.2131,221.635,HTTP://CLIKBRIX.CO/T/2153,1
2,0,358.897,160,270,19,0,9.24307,-3.85197,162.788,HTTP://CLIKBRIX.CO/T/2153,1
9,90,86.7611,551,441,91,-37,79.4276,-37.387,306.206,HTTP://CLIKBRIX.CO/T/2153,1
7,180,-1,-1,-1,91,31,-1,-1,401.4,,0
7,45,-1,-1,-1,91,31,-1,-1,401.4,,0
2,90,87.7659,155,267,19,0,8.61907,-3.44939,167.194,HTTP://CLIKBRIX.CO/T/2153,1
4,0,357.889,380,85,54,28,42.445,24.3141,166.208,HTTP://CLIKBRIX.CO/T/2153,1
4,135,-1,-1,-1,54,28,-1,-1,401.4,,0
9,45,42.8332,517,403,91,-37,70.999,-29.2091,255.691,HTTP://CLIKBRIX.CO/T/2153,1
2,180,175.843,160,266,19,0,9.24307,-3.33227,162.099,HTTP://CLIKBRIX.CO/T/2153,1
1,90,87.7871,138,93,18.5,22,6.5348,18.828,233.951,HTTP://CLIKBRIX.CO/T/2153,1
8,315,-1,-1,-1,91,0,-1,-1,401.4,,0
9,135,-1,-1,-1,91,-37,-1,-1,401.4,,0
2,180,175.843,161,266,19,0,9.36934,-3.33593,161.112,HTTP://CLIKBRIX.CO/T/2153,1
5,180,178.605,390,252,54,0,44.2804,-1.85004,71.0211,HTTP://CLIKBRIX.CO/T/2153,1
5,180,177.966,390,252,54,0,44.2804,-1.85004,71.0211,HTTP://CLIKBRIX.CO/T/2153,1
7,90,90,537,79,91,31,75.8812,29.5696,270.204,HTTP://CLIKBRIX.CO/T/2153,1
1,0,357.555,150,99,18.5,22,8.00056,18.2278,220.864,HTTP://CLIKBRIX.CO/T/2153,1
8,135,-1,-1,-1,91,0,-1,-1,401.4,,0
7,315,-1,-1,-1,91,31,-1,-1,401.4,,0
6,0,358.692,400,423,54,-28,46.1506,-29.1524,199.722,HTTP://CLIKBRIX.CO/T/2153,1
5,135,131.601,388,251,54,0,43.9108,-1.68901,68.884,HTTP://CLIKBRIX.CO/T/2153,1
3,0,359.781,172,408,20,-18,10.7601,-21.9919,223.893,HTTP://CLIKBRIX.CO/T/2153,1
5,270,267.153,390,257,54,0,44.2804,-2.64057,72.0347,HTTP://CLIKBRIX.CO/T/2153,1
8,135,-1,-1,-1,91,0,-1,-1,401.4,,0
6,225,222.174,405,415,54,-28,47.1003,-28.0087,194.551,HTTP://CLIKBRIX.CO/T/2153,1
3,135,132.335,171,390,20,-18,10.6338,-19.6148,211.426,HTTP://CLIKBRIX.CO/T/2153,1
3,90,85.551,168,398,20,-18,10.2514,-20.6158,219.244,HTTP://CLIKBRIX.CO/T/2153,1
2,270,269.025,166,270,19,0,9.99883,-3.87027,156.895,HTTP://CLIKBRIX.CO/T/2153,1
2,270,268.549,166,270,19,0,9.99883,-3.87027,156.895,HTTP://CLIKBRIX.CO/T/2153,1
9,270,-1,-1,-1,91,-37,-1,-1,401.4,,0
